,KNN,KNN_opt,SVC,SVC_opt,RFC,RFC_opt,GaussianNB,LogReg,LogReg_opt,LinearSVC,LinearSVC_opt
fit_time,0.014,0.016,0.031,0.037,0.135,0.191,0.011,0.086,0.021,0.012,0.013
score_time,0.05,0.023,0.017,0.02,0.017,0.022,0.008,0.008,0.009,0.007,0.01
test_precision,0.267,0.267,0.142,0.114,0.283,0.267,0.115,0.141,0.157,0.35,0.35
train_precision,0.666,0.666,0.294,0.114,0.946,0.946,0.119,0.196,0.194,0.584,0.603
test_recall,0.027,0.027,0.334,1.0,0.063,0.102,0.96,0.437,0.423,0.038,0.038
train_recall,0.093,0.093,0.689,1.0,1.0,1.0,0.994,0.586,0.506,0.084,0.077
test_f1,0.047,0.047,0.195,0.204,0.103,0.147,0.205,0.211,0.226,0.067,0.067
train_f1,0.162,0.162,0.41,0.205,0.972,0.972,0.213,0.293,0.28,0.146,0.137
