,precision,recall,thresholds
0,0.11370262390670553,1.0,0.0
1,0.11436950146627566,1.0,0.06058163571603744
2,0.11470588235294117,1.0,0.3109704543368005
3,0.11504424778761062,1.0,0.3182555426708001
4,0.11538461538461539,1.0,0.3447832947025537
5,0.11572700296735905,1.0,0.39141279635407167
6,0.11607142857142858,1.0,0.4023393246516177
7,0.11641791044776119,1.0,0.40844620107729723
8,0.11676646706586827,1.0,0.42078555166866866
9,0.11711711711711711,1.0,0.421378603258705
10,0.11746987951807229,1.0,0.4301611388290945
11,0.11782477341389729,1.0,0.4342029976890245
12,0.11818181818181818,1.0,0.44023597742979415
13,0.11854103343465046,1.0,0.4633763408669013
14,0.11890243902439024,1.0,0.4695938044032792
15,0.11926605504587157,1.0,0.4833846353521073
16,0.1196319018404908,1.0,0.48657960599655803
17,0.12,1.0,0.49774771800089607
18,0.12037037037037036,1.0,0.4979043152860526
19,0.12074303405572756,1.0,0.49963310282189743
20,0.12111801242236025,1.0,0.501792407004132
21,0.121875,1.0,0.5237983397664405
22,0.12225705329153605,1.0,0.5359824626024454
23,0.11949685534591195,0.9743589743589743,0.5876108602686299
24,0.11987381703470032,0.9743589743589743,0.6042364998792467
25,0.12025316455696203,0.9743589743589743,0.6794352543174109
26,0.12063492063492064,0.9743589743589743,0.7672019367323436
27,0.12101910828025478,0.9743589743589743,0.8147600821702332
28,0.12140575079872204,0.9743589743589743,0.8257958020431732
29,0.12179487179487179,0.9743589743589743,0.894719035308733
30,0.12218649517684887,0.9743589743589743,0.9297395774675206
31,0.12258064516129032,0.9743589743589743,0.9425195324528275
32,0.11974110032362459,0.9487179487179487,0.9485761202261157
33,0.12012987012987013,0.9487179487179487,0.9862978785833836
34,0.12052117263843648,0.9487179487179487,0.9890202213743763
35,0.12091503267973856,0.9487179487179487,0.9894068161352433
36,0.12131147540983607,0.9487179487179487,0.9948036766582473
37,0.12171052631578948,0.9487179487179487,0.9952258059874299
38,0.12211221122112212,0.9487179487179487,0.9962558527609381
39,0.12251655629139073,0.9487179487179487,0.9965546679154501
40,0.12292358803986711,0.9487179487179487,0.9966135789600021
41,0.12333333333333334,0.9487179487179487,0.9968426455060713
42,0.12040133779264214,0.9230769230769231,0.9970255482249141
43,0.12080536912751678,0.9230769230769231,0.9976518768658514
44,0.12121212121212122,0.9230769230769231,0.9977782934378491
45,0.12162162162162163,0.9230769230769231,0.9977929745212837
46,0.12203389830508475,0.9230769230769231,0.9979279736090984
47,0.12244897959183673,0.9230769230769231,0.99798802329801
48,0.12286689419795221,0.9230769230769231,0.9981314869395869
49,0.1232876712328767,0.9230769230769231,0.9981777411738534
50,0.12371134020618557,0.9230769230769231,0.9982067298899859
51,0.12413793103448276,0.9230769230769231,0.9983496295720873
52,0.1245674740484429,0.9230769230769231,0.9983711264874723
53,0.125,0.9230769230769231,0.998435877517096
54,0.1254355400696864,0.9230769230769231,0.9984368900100827
55,0.1258741258741259,0.9230769230769231,0.998441758424079
56,0.12631578947368421,0.9230769230769231,0.9984568567267549
57,0.1267605633802817,0.9230769230769231,0.9984780302623568
58,0.12367491166077739,0.8974358974358975,0.998479828195903
59,0.12411347517730496,0.8974358974358975,0.9984842938748218
60,0.12455516014234876,0.8974358974358975,0.9984989700147419
61,0.125,0.8974358974358975,0.9985041195504055
62,0.12544802867383512,0.8974358974358975,0.9985070532619745
63,0.12589928057553956,0.8974358974358975,0.9985185725186929
64,0.1263537906137184,0.8974358974358975,0.9985356767678776
65,0.12681159420289856,0.8974358974358975,0.9985632062835689
66,0.12043795620437957,0.8461538461538461,0.9985861237451292
67,0.11721611721611722,0.8205128205128205,0.9986026915818262
68,0.11764705882352941,0.8205128205128205,0.9986234384564875
69,0.11808118081180811,0.8205128205128205,0.9986250572377277
70,0.11851851851851852,0.8205128205128205,0.9986282590042246
71,0.11895910780669144,0.8205128205128205,0.9986515798977041
72,0.11940298507462686,0.8205128205128205,0.9986716645030956
73,0.1198501872659176,0.8205128205128205,0.9986769172530847
74,0.12030075187969924,0.8205128205128205,0.9986840154164227
75,0.12075471698113208,0.8205128205128205,0.9986855504952826
76,0.12121212121212122,0.8205128205128205,0.9986886019495674
77,0.12167300380228137,0.8205128205128205,0.9987050380217242
78,0.12213740458015267,0.8205128205128205,0.9987112860339816
79,0.12260536398467432,0.8205128205128205,0.9987153770368717
80,0.12307692307692308,0.8205128205128205,0.9987361009316357
81,0.12355212355212356,0.8205128205128205,0.9987388841852415
82,0.12403100775193798,0.8205128205128205,0.9987412205661821
83,0.1245136186770428,0.8205128205128205,0.9987610168841025
84,0.125,0.8205128205128205,0.9987633929550215
85,0.12549019607843137,0.8205128205128205,0.9987680610973102
86,0.1220472440944882,0.7948717948717948,0.9987725749834229
87,0.1225296442687747,0.7948717948717948,0.9987734722629892
88,0.12301587301587301,0.7948717948717948,0.9987753861530612
89,0.12350597609561753,0.7948717948717948,0.9987785885972016
90,0.124,0.7948717948717948,0.9987796791150546
91,0.12449799196787148,0.7948717948717948,0.9987922812098041
92,0.125,0.7948717948717948,0.9987931723175224
93,0.12550607287449392,0.7948717948717948,0.998800406296223
94,0.12195121951219512,0.7692307692307693,0.9988070973181599
95,0.12244897959183673,0.7692307692307693,0.9988082378901104
96,0.12295081967213115,0.7692307692307693,0.9988097453986946
97,0.12345679012345678,0.7692307692307693,0.9988099166354523
98,0.12396694214876033,0.7692307692307693,0.9988251054164404
99,0.12448132780082988,0.7692307692307693,0.9988296051503166
100,0.125,0.7692307692307693,0.9988360076177538
